username,following,followers,likes,video_views,video_link,scrap_date,scrap_time
fernandassep,156,79600,4000000,18300.0,https://www.tiktok.com/@fernandassep/video/7075460327667911982,2022-04-01,00:48:10.633832
fernandassep,156,79600,4000000,17300.0,https://www.tiktok.com/@fernandassep/video/7075442445026184490,2022-04-01,00:48:10.670315
fernandassep,156,79600,4000000,92900.0,https://www.tiktok.com/@fernandassep/video/7075414041228791086,2022-04-01,00:48:10.707077
fernandassep,156,79600,4000000,17500.0,https://www.tiktok.com/@fernandassep/video/7075407039115136298,2022-04-01,00:48:10.753637
fernandassep,156,79600,4000000,40100.0,https://www.tiktok.com/@fernandassep/video/7075390881041517870,2022-04-01,00:48:10.796846
fernandassep,156,79600,4000000,27900.0,https://www.tiktok.com/@fernandassep/video/7075377382814682411,2022-04-01,00:48:10.841681
fernandassep,156,79600,4000000,433600.0,https://www.tiktok.com/@fernandassep/video/7075169199735246122,2022-04-01,00:48:10.888833
fernandassep,156,79600,4000000,44900.0,https://www.tiktok.com/@fernandassep/video/7075154030401555758,2022-04-01,00:48:10.927422
fernandassep,156,79600,4000000,17800.0,https://www.tiktok.com/@fernandassep/video/7075107867959004462,2022-04-01,00:48:10.975215
fernandassep,156,79600,4000000,18500.0,https://www.tiktok.com/@fernandassep/video/7075061633294306603,2022-04-01,00:48:11.020208
fernandassep,156,79600,4000000,71300.0,https://www.tiktok.com/@fernandassep/video/7075051320599678254,2022-04-01,00:48:11.063907
fernandassep,156,79600,4000000,28500.0,https://www.tiktok.com/@fernandassep/video/7074958860955438382,2022-04-01,00:48:11.106446
fernandassep,156,79600,4000000,14800.0,https://www.tiktok.com/@fernandassep/video/7074909214174465326,2022-04-01,00:48:11.142973
fernandassep,156,79600,4000000,16300.0,https://www.tiktok.com/@fernandassep/video/7074846502132239658,2022-04-01,00:48:11.185410
fernandassep,156,79600,4000000,21100.0,https://www.tiktok.com/@fernandassep/video/7074809919295212842,2022-04-01,00:48:11.222851
fernandassep,156,79600,4000000,26700.0,https://www.tiktok.com/@fernandassep/video/7074801252365897006,2022-04-01,00:48:11.263516
fernandassep,156,79600,4000000,20600.0,https://www.tiktok.com/@fernandassep/video/7074794671394016558,2022-04-01,00:48:11.299984
fernandassep,156,79600,4000000,104600.0,https://www.tiktok.com/@fernandassep/video/7074746675696520494,2022-04-01,00:48:11.337172
fernandassep,156,79600,4000000,27700.0,https://www.tiktok.com/@fernandassep/video/7074688930246839594,2022-04-01,00:48:11.374444
fernandassep,156,79600,4000000,45300.0,https://www.tiktok.com/@fernandassep/video/7074681931681795374,2022-04-01,00:48:11.412026
fernandassep,156,79600,4000000,205200.0,https://www.tiktok.com/@fernandassep/video/7074616801673563438,2022-04-01,00:48:11.455075
fernandassep,156,79600,4000000,43400.0,https://www.tiktok.com/@fernandassep/video/7074476858993069354,2022-04-01,00:48:11.491477
fernandassep,156,79600,4000000,55800.0,https://www.tiktok.com/@fernandassep/video/7074379234889698602,2022-04-01,00:48:11.526630
fernandassep,156,79600,4000000,48700.0,https://www.tiktok.com/@fernandassep/video/7074300154274270510,2022-04-01,00:48:11.564297
fernandassep,156,79600,4000000,98100.0,https://www.tiktok.com/@fernandassep/video/7074295611960560942,2022-04-01,00:48:11.605851
fernandassep,156,79600,4000000,156500.0,https://www.tiktok.com/@fernandassep/video/7074260695940025646,2022-04-01,00:48:11.645040
fernandassep,156,79600,4000000,70700.0,https://www.tiktok.com/@fernandassep/video/7074046725316545838,2022-04-01,00:48:11.688207
fernandassep,156,79600,4000000,926200.0,https://www.tiktok.com/@fernandassep/video/7073984617702772014,2022-04-01,00:48:11.729938
