username,following,followers,likes,video_views,video_link,scrap_date,scrap_time,video_description,video_likes,video_comments,video_shares
fernandassep,156,79600,4000000,79900.0,https://www.tiktok.com/@fernandassep/video/7077622651300203819,2022-04-01,00:47:17.777901,'Para que no me vean en pijama todos los días y me critiquen 🥴🤡 Ya nos vamos mañana! ✨ #minivlog #vlogdeldia #momlife #rutinaencasa #maternidadsinfiltro #undiaenmivida #vidademama #mamalatina #latinasenusa #mamasdetiktok',4974,57,3
fernandassep,156,79600,4000000,37500.0,https://www.tiktok.com/@fernandassep/video/7077435077772234026,2022-04-01,00:47:17.816833,"'El preocuparnos por ser mejor mamás, ya nos hace buenas madres✨ #momlife #vidademama #maternidad #mamalatina #maternidadreal #maternidadsinfiltro #mamasdetiktok #momtok #latinasenusa'",1702,44,39
fernandassep,156,79600,4000000,29000.0,https://www.tiktok.com/@fernandassep/video/7077398052453240110,2022-04-01,00:47:17.856996,'Que cenaron? 🌝 #minivlog #momlife #mamalatina #cenafacil #vlogdeldia #undiaenmivida #latinasenusa #mujeresdetiktok #mujereslatinas #tiktokespañol',1535,33,4
fernandassep,156,79600,4000000,22900.0,https://www.tiktok.com/@fernandassep/video/7077377209027071274,2022-04-01,00:47:17.892837,'Algo creativo y bonito? No se me ocurre nada más que llenarle cajas y gabetas 🥴 #momlife #mamalatina #mamamontessori #actividadesmontessori #toddler #maternidad #maternidadreal #actividadesparabebes',1074,22,1
fernandassep,156,79600,4000000,121900.0,https://www.tiktok.com/@fernandassep/video/7077357985730841902,2022-04-01,00:47:17.930362,'Reply to @laura_sifontes Ya me cansé 🥴 #minivlog #vlogdeldia #rutinaencasa #momlife #mamalatina #limpiezadecasa #suegra #bebepatito #vidademama #undiaenmivida #bienvenidosamicasa #bebeencasa',6500,38,1
fernandassep,156,79600,4000000,66600.0,https://www.tiktok.com/@fernandassep/video/7077287656853343534,2022-04-01,00:47:17.966366,"'Parte 1, en los comentarios los siguientes 🥰 Nada como una visita de la suegra para limpiar todo 😌 #minivlog #vlogdeldia #undiaenmivida #limpiezadecasa #cleantok #mamalatina #latinasenusa #momlife #vidademama #bebepatito #visitadelasuegra #rutinaencasa #mamasdetiktok'",4174,24,2
fernandassep,156,79600,4000000,26600.0,https://www.tiktok.com/@fernandassep/video/7077241196346641710,2022-04-01,00:47:18.028438,'Quieren que haga video limpiando todo? 🥴👀 #minivlog #vlogdeldia #bebepatito #rutinaencasa #undiaenmivida #mamalatina #latinasenusa #desayunofacil #mamasdetiktok #momlife #vidademama',2279,25,0
fernandassep,156,79600,4000000,34200.0,https://www.tiktok.com/@fernandassep/video/7077018006227897643,2022-04-01,00:47:18.101263,'60K que les gusta ver a la bebe patito 🐣 gracias✨ #momlife #mamalatina #vidademama #maternidad #latinasenusa #60kseguidores #maternidadreal #minivlogs #bebepatito',1426,12,2
fernandassep,156,79600,4000000,13100.0,https://www.tiktok.com/@fernandassep/video/7076997389411732778,2022-04-01,00:47:18.138575,'Lo sufriste? 😩 #maternidad #momlife #cosasdemamas #lactancia #lactanciamaterna #mamasdetiktok #doloresdeparto #dolordepecho #maternidadreal',691,27,4
fernandassep,156,79600,4000000,13700.0,https://www.tiktok.com/@fernandassep/video/7076971781537467691,2022-04-01,00:47:18.208769,'Que bonito hacer equipo con alguien 🌝✨ #cosasdepareja #matrimonio #esposasdetiktok #momlife #mamalatina #galletasoreo #matrimoniofeliz',632,6,5
fernandassep,156,79600,4000000,23900.0,https://www.tiktok.com/@fernandassep/video/7076968295903218990,2022-04-01,00:47:18.252840,'Cuál es la dinámica de tu matrimonio? ✨ #minivlog #vlogdeldia #mamalatina #latinasenusa #vamosalaiglesia #matrimonios #cosasdepareja #undiaenmivida #cosasdemama #momlife #esposalatina',1612,20,2
